,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,month 1,accommodates,bathrooms,bedrooms,bed_type,review_scores_rating,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed,Hot_water,no_of_amenities
56,11.0,109.0,0.0,120,2,7,499.0,0.13,4,86,188.0,10,1.5,2.0,4.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,21
57,5.0,80.0,1.0,37,6,96,533.0,1.28,2,347,221.0,2,1.0,1.0,4.0,92.0,1.0,0.0,0.0,1.0,0.0,1.0,17
58,1.0,134.0,0.0,52,2,89,513.0,1.16,3,323,212.0,2,1.0,1.0,4.0,83.0,0.0,1.0,1.0,1.0,0.0,1.0,17
59,6.0,95.0,1.0,44,3,45,645.0,0.5,2,123,193.0,6,1.0,3.0,3.0,98.0,0.0,0.0,0.0,0.0,0.0,1.0,17
60,1.0,135.0,0.0,102,2,34,656.0,0.39,1,0,224.0,4,1.0,2.0,4.0,100.0,1.0,1.0,0.0,1.0,0.0,1.0,29
61,1.0,30.0,1.0,29,2,70,506.0,0.91,1,58,265.0,2,1.0,1.0,4.0,96.0,0.0,1.0,0.0,1.0,1.0,1.0,22
62,6.0,94.0,0.0,84,3,220,513.0,2.43,10,315,264.0,4,1.0,0.0,4.0,90.0,1.0,0.0,1.0,1.0,0.0,1.0,28
63,0.0,51.0,0.0,80,3,37,520.0,0.55,2,349,244.0,2,1.0,1.0,4.0,97.0,1.0,1.0,0.0,1.0,0.0,1.0,21
64,10.0,110.0,0.0,69,3,200,505.0,2.14,1,178,241.0,2,1.0,1.0,4.0,96.0,1.0,1.0,1.0,0.0,0.0,1.0,29
65,6.0,98.0,0.0,185,4,59,520.0,0.76,1,359,257.0,6,1.0,3.0,4.0,81.0,0.0,1.0,1.0,0.0,0.0,0.0,12
66,0.0,108.0,0.0,49,2,69,521.0,0.75,1,28,249.0,2,1.0,1.0,3.0,98.0,1.0,1.0,0.0,1.0,0.0,1.0,36
67,4.0,100.0,0.0,155,4,39,497.0,0.43,1,286,220.0,5,1.0,2.0,4.0,99.0,1.0,1.0,1.0,1.0,0.0,1.0,21
68,6.0,94.0,0.0,66,3,238,506.0,2.59,1,69,219.0,2,1.0,1.0,4.0,98.0,1.0,1.0,1.0,1.0,0.0,1.0,25
69,4.0,18.0,0.0,70,3,71,520.0,0.8,3,225,237.0,2,1.0,1.0,4.0,91.0,1.0,1.0,1.0,1.0,0.0,1.0,21
70,6.0,97.0,0.0,53,2,197,505.0,2.23,2,249,241.0,2,1.0,1.0,4.0,94.0,1.0,1.0,1.0,1.0,0.0,1.0,30
71,6.0,49.0,0.0,70,3,2,512.0,1.54,1,139,177.0,3,2.0,1.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,24
72,6.0,49.0,0.0,92,1,265,504.0,2.86,2,323,256.0,5,1.5,2.0,4.0,96.0,1.0,1.0,1.0,0.0,0.0,1.0,54
73,4.0,18.0,0.0,75,3,47,511.0,1.09,3,328,233.0,2,1.0,1.0,4.0,92.0,1.0,1.0,1.0,1.0,0.0,1.0,19
74,1.0,135.0,1.0,80,2,44,998.0,0.48,1,365,267.0,2,1.0,1.0,4.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,5
75,1.0,118.0,1.0,48,2,167,499.0,1.82,1,336,250.0,2,1.0,1.0,4.0,94.0,1.0,1.0,0.0,0.0,0.0,1.0,17
76,6.0,98.0,0.0,114,10,57,502.0,0.63,4,109,262.0,4,1.0,1.0,4.0,96.0,1.0,0.0,1.0,0.0,0.0,1.0,24
77,5.0,101.0,0.0,60,2,44,890.0,0.48,1,2,280.0,3,1.0,1.0,4.0,99.0,0.0,0.0,1.0,0.0,0.0,0.0,9
78,1.0,118.0,0.0,506,3,112,1066.0,1.24,2,0,235.0,14,2.0,5.0,4.0,94.0,1.0,0.0,1.0,1.0,0.0,1.0,25
79,1.0,135.0,0.0,50,1,154,526.0,1.69,1,315,203.0,3,1.0,1.0,4.0,89.0,1.0,1.0,1.0,1.0,0.0,1.0,23
80,6.0,97.0,0.0,82,60,91,514.0,1.0,2,319,221.0,4,1.0,1.0,4.0,95.0,1.0,0.0,1.0,1.0,0.0,1.0,21
81,10.0,110.0,0.0,80,3,59,531.0,0.66,1,363,240.0,2,1.0,1.0,4.0,99.0,1.0,1.0,0.0,0.0,0.0,0.0,18
